"Create a new language","Créer un nouveau langage"
"Default text","Texte par défaut"
"Edit the language: %s","Modifier la langue: %s"
"Language","Langue"
"Language successfully saved","Langue enregistré avec succès"
"List of your languages","Liste de vos langues"
"Please, choose a file.","S'il vous plaît, choisissez un fichier."
"Please, choose a language.","S'il vous plaît, choisissez une langue."
"Select a file","Sélectionnez un fichier"
"Select a language","Sélectionnez une langue"
"Text translation","Traduction du texte"
"Translate the 'e.g.' between parentheses only.","Traduire par exemple entre parenthèses seulement."
"Your translation","Votre traduction"
