"Add a region";"Ajouter une région"
"List of your taxes";"Liste de vos taxes"
"National";"National"
"Please select a country";"Veuillez sélectionner un pays"
"Please enter a tax rate.";"Veuillez sélectionnez un taux de TVA."
"Please enter a valid tax rate.";"Veuillez sélectionner un taux de TVA valide."
"Rate";"Taux"
"Region";"Région"
"Remove";"Supprimer"
"Select a region";"Sélectionner une région"
"Tax name";"Nom de taxe"
"Total Tax";"Taxe totale"
"You don't have created any taxes yet";"Vous n'avez pas encore créé de taxe."
