"Actions";"Actions"
"An error occurred while deleting your role. Please, try again later.";"Une erreur est survenue lors de la suppression de votre rôle. Veuillez réessayer plus tard."
"Code";"Code"
"Create a new role";"Créer un nouveau rôle"
"Delete";"Effacer"
"Edit";"Éditer"
"Edit %s role";"Editez le role %s"
"Id";"Id"
"Label";"Étiquette"
"List of your roles";"Liste de vos rôles"
"Role";"Rôle"
"Search";"Recherche"
"This role will be the default one for the whole platform.";"Ce rôle sera celui par défaut pour l'ensemble de la plateforme."
"You don't have any role yet";"Vous ne possédez pas encore de rôle"
"Your role has been successfully deleted";"Votre rôle a été supprimé avec succès"
"Your role has been successfully saved";"Votre rôle a été enregistré avec succès"
