"%s by %s";"%s par %s"
"+ Add a track";"+ Ajouter une piste"
"Add albums and tracks to the playlist:";"Ajouter des albums et des pistes à la playlist:"
"Album";"Album"
"Albums";"Albums"
"Albums:";"Albums:"
"An error occurred while deleting you images gallery. Please try again later.";"Une erreur est survenue lors de la sauvegarde de votre galerie d'images. Merci de réessayer ultérieurement."
"An error occurred while deleting your album. Thanks for trying later.";"Une erreur est survenue lors de la suppression de votre album. Merci d'essayer plus tard."
"An error occurred while deleting your playlist. Thanks for trying later.";"Une erreur est survenue lors de la suppression de votre playlist. Merci d'essayer plus tard."
"An error occurred while deleting your track. Thanks for trying later.";"Une erreur est survenue lors de la suppression de votre piste. Merci d'essayer plus tard."
"An error occurred while loading pictures. Please try later.";"Une erreur est survenue lors du chargement des images. Merci de réessayer ultérieurement."
"An error occurred while loading videos. Please try later.";"Une erreur est survenue lors du chargement des vidéos. Merci de réessayer ultérieurement."
"An error occurred while saving your images gallery. Please try again later.";"Une erreur est survenue lors de la sauvegarde de votre galerie d'images. Merci de réessayer ultérieurement."
"An error occurred while saving your playlist. Thanks for trying later.";"Une erreur est survenue lors de l'enregistrement de votre playlist. Merci d'essayer plus tard."
"An error occurred while saving your videos gallery. Please try again later.";"Une erreur est survenue lors de la sauvegarde de votre galerie vidéos. Merci de réessayer ultérieurement."
"Are you sure you don't want to create an album for these tracks?";"Êtes-vous sûr que vous ne voulez pas créer un album pour ces pistes?"
"Are you sure you don't want to create an album for this track?";"Êtes-vous sûr que vous ne voulez pas créer un album pour ce morceau?"
"Are you sure you want to delete this album (this won't delete tracks)?";"Êtes-vous sûr de vouloir supprimer cet album (ce n'est pas supprimer des pistes)?"
"Are you sure you want to delete this album?";"Êtes-vous sûr de vouloir supprimer cet album?"
"Are you sure you want to delete this playlist?";"Êtes-vous sûr de vouloir supprimer cette playlist?"
"Are you sure you want to delete this track?";"Êtes-vous sûr de vouloir supprimer cette piste?"
"Artist";"artiste"
"Artist:";"Artiste:"
"Audio";"Audio"
"Channel";"Channel"
"Choose an album";"Sélectionnez un album"
"Custom";"Custom"
"Delete this gallery?";"Etes-vous sûr de vouloir supprimer cette galerie ?"
"Feed URL";"Url de votre flux"
"Feed URL <span class=""required-entry"">*</span> :";"Url de votre flux <span class=""required-entry"">*</span> :"
"Gallery Name";"Nom de la galerie"
"Gallery Name <span class=""required-entry"">*</span> :";"Nom de la galerie <span class=""required-entry"">*</span> :"
"Group";"groupe"
"I'm listening to";"J'écoute"
"Images gallery has been saved successfully";"Galerie d'images sauvegardée avec succès"
"Instagram";"Instagram"
"Last update:";"Dernière mise à jour:"
"Login";"S'identifier"
"Maximum size : 2000*2000 px - Allowed filetypes : jpg and png";"Taille maximum : 2000x2000px - formats autorisés : jpg et png"
"My images";"Mes images"
"My pictures";"Mes images"
"No album found";"Aucun album trouvé"
"No artist found";"Aucun artiste trouvé"
"No track found";"Aucune plage trouvée"
"PLAYER";"PLAYER"
"Parameter";"Paramètre"
"Parameter/Feed Url";"Paramètre/Url du flux"
"Picasa";"Picasa"
"Picture%s";"Image%s"
"Playlist";"Playlist"
"Playlist successfully saved.";"Playlist sauvegardé avec succès."
"Playlist title:";"Titre Playlist :"
"Playlists";"Playlists"
"Podcast";"Podcast"
"Podcast URL (iTunes format)";"Podcast URL (iTunes format)"
"Read all";"Tout lire"
"Required field";"Ce champs est obligatoire"
"Search/Url";"Recherche/Url"
"The entered name is not a valid Instagram user.";"Nous sommes désolé mais l'utilisateur saisi n'existe pas chez Instagram."
"This element is not an album.";"Cet élément n'est pas un album."
"Track";"Track"
"Tracks";"Tracks"
"Type";"Type"
"URL (.mp3):";"URL (.mp3):"
"Videos gallery has been saved successfully";"Galerie vidéo sauvegardée avec succès"
"Vimeo";"Vimeo"
"buy";"acheter"
"by";"par"
"close";"fermer"
"empty";"vide"
"from";"à partir de"
"hide";"cacher"
"loop";"boucle"
"music";"music"
"next";"next"
"on";"on"
"pause";"pause"
"play";"play"
"previous";"previous"
"share";"share"
"shuffle";"shuffle"
"track";"track"
"tracks";"tracks"
