"A new comment to your message %s","Une réponse à votre message %s"
"Admin","Admin"
"Are you sure to delete this comment?","Supprimer ce commentaire ?"
"Are you sure to delete this message?","Supprimer ce message ?"
"Closed by Admin","Fermer par l'admin"
"Connect me!","Connectez-moi !"
"Delete message","Supprimer le message"
"Deleted by user.","Supprimer par l'utilisateur."
"Inbox","Inbox"
"Inbox - Replies","Réponses - Inbox"
"New Inbox Message","Nouveau message Inbox"
"No messages for now.","Pas de message pour l'instant."
"Please fill at least a title.","Merci de remplir au moins le titre."
"Please select at least one user.","Merci de sélectionner au moins un utilisateur."
"Send a push notification to warn user","Envoyer un push pour avertir l'utilisateur"
"Send my message at this date (leave empty for instant sending):","Envoyer mon message à cette date (laisser vide pour un envoi instantané)"
"You have a new Inbox message.","Vous avez un nouveau message Inbox."
"You have to be connected to use the Inbox. Please connect to your account by clicking on the button below.","Vous devez être connecté pour utiliser cette page. Merci de vous connecter à votre compte en cliquant sur le bouton ci-dessous."
"Your message has been successfully saved","Votre message a bien été sauvegardé."
