"%s - Your new password";"%s - Votre nouveau mot de passe"
"%s – Your new password";"%s - Votre nouveau mot de passe"
"A request to reset your password has been made to log in to your administration panel.";"Une demande de réinitialilisation de votre mot de passe a été faite afin d'accéder à votre interface d'administration."
"Access";"Accéder"
"Access Management";"Gestion de l'accès"
"Account role";"Compte de Rôle"
"Address 2:";"Adresse suite:"
"Address:";"Adresse:"
"Admin successfully deleted";"Administrateur supprimé avec succès"
"Administrator: full access";"Administrateur: accès complet"
"An error occurred while saving. The country is not valid.";"Une erreur est survenue à l'enregistrement. Le pays n'est pas valide."
"Application have been duplicated successfully.";"L'application a été dupliquée avec succès."
"Are you sure you want to delete this application?";"Etes-vous sur de vouloir supprimer cette application ?"
"Are you sure you want to duplicate this application?";"Etes-vous sûr que vous voulez dupliquer cette application?"
"Can add pages";"Peut ajouter des pages"
"Change my password";"Modifier mon mot de passe"
"Company:";"Societé"
"Confirm your password";"Confimez votre mot de passe"
"Connect to your backoffice to validate this account.";"Connectez-vous pour valider ce compte."
"Create a new application";"Créer une nouvelle application"
"Create a new user";"Créer un nouvel utilisateur"
"Created At";"Créé le"
"Created at %s";"Créé le %s"
"Do not hesitate to give us your feedback by sharing your needs:";"N'hésitez pas à nous faire vos retours en partageant vos besoins :"
"Edit the account ""%s""";"Modifier le compte ""%s"""
"Edit the account ""%s”";"Editer le compte ""%s”"
"Edit the user %s";"Editer l'utilisateur ""%s”"
"Enjoy!";"Profiter!"
"Filter your apps...";"Filtrer les applications"
"Find some advices here:";"Quelques conseils ici :"
"From";"De"
"Hello, a new user has registered on your platform : %s.";"Bonjour, un nouvel utilisateur est enregistré sur votre plate-forme:% s."
"Here are your credentials, keep them preciously:";"Voici vos accès, conservez les précieusement :"
"List of admin accounts";"Liste des comptes administrateurs"
"List of my accounts";"Liste de mes comptes"
"List of your users";"Liste de vos utilisateurs"
"Log-in As";"S'identifier en tant que"
"Manage access";"Gérer l'accès"
"My Applications";"Mes applications"
"My information";"Mes informations"
"My informations";"Mes informations"
"Need some help?";"Besoin d'aide ?"
"New user registration on your platform";"Nouveau enregistrement dans la plateforme"
"No account for now.";"Pas de compte pour l'instant."
"Please enter a valid email address.";"Entrez svp une adresse email valide"
"Please enter an application name";"Entrez un nom d'application"
"Ready to create your own apps?";"Prêt à créer vos propres applications ?"
"Role";"Rôle"
"Sign up";"Créer un compte"
"Sorry but an error occured while duplicating your application.";"Désolé mais une erreur est survenue lors de dupliquer votre application."
"State/Province";"Région"
"Thanks for choosing us!";"Merci denous avoir choisi !"
"The Support Team";"L'Équipe Support"
"The account role is required";"Un compte de rôle est nécessaire"
"The password and the confirmation does not match.";"Le mot de passe et la confirmation ne concordent pas."
"The password must be at least 6 characters.";"Le mot de passe doit contenir au moins 6 caractères."
"This account is not activated yet. Please contact an administrator.";"Ce compte n'a pas encore été activé. S'il vous plaît contacter un administrateur."
"User successfully deleted";"Utilisateur supprimé avec succès"
"We are sorry but this email address is already used.";"Nous sommes désolés mais l'adresse email saisie est déjà utilisée."
"Welcome!";"Bienvenue !"
"You are going to love it! Thanks to our effective features, you will be able to create great mobile apps in your name, within minutes.";"Vous allez adorer ! Grâce à nos fonctionnalités performantes, vous allez pouvoir créer des applications mobiles géniales en quelques minutes."
"You can't delete the main account";"Vous ne pouvez pas supprimer le compte principal"
"You don't have any users yet";"Vous n'avez pas encore d'utilisateur"
"Your account have been created successfully. It will be activated soon.";"Votre compte a été créé avec succès. Il sera activé bientôt."
"Your credentials";"Vos accès"
"Your login:";"Votre identifiant :"
"Your password:";"Votre mot de passe :"
"Zip Code";"Code postal"
"Zip Code:";"Code postal:"
"to";"à"
