"%s - All";"%s - Tout"
"%s – All";"%s – Tout"
"Add a category";"Ajouter une catégorie"
"Add a format";"Ajouter un format"
"All";"Toutes"
"An error occurred while loading your product.";"Une erreur est survenue lors du chargement de votre produit."
"An error occurred while saving the category. Please try again later.";"Une erreur est survenue lors de la sauvegarde de votre catégorie. Merci de réessayer ultérieurement."
"An error occurred while saving the product. Please try again later.";"Une erreur est survenue lors de la sauvegarde du produit. Merci de réessayer ultérieurement."
"An error occurred while saving the set meal. Please try again later.";"Une erreur est survenue lors de la sauvegarde du menu. Merci de réessayer ultérieurement."
"An error occurred while saving. One of your categories could not be identified.";"Une erreur est survenue lors de la sauvegarde. Une catégorie n'a pas pu être identifiée."
"An error occurred while saving. One of your products could not be identified.";"Une erreur est survenue lors de la sauvegarde. Un produit n'a pas pu être identifiée."
"Are you sure you want to delete this category and all its subcategories?";"Êtes-vous sûr de vouloir supprimer cette catégorie et toutes ses sous-catégories?"
"Are you sure you want to delete this category?";"Êtes-vous sûr de vouloir supprimer cette catégorie?"
"Are you sure you want to delete this product?";"Êtes-vous sûr de vouloir supprimer ce produit ?"
"Category";"Catégorie"
"Choose a category";"Choisissez une catégorie"
"Choose a subcategory";"Choisissez une sous-catégorie"
"Click on a category to display sub-categories";"Cliquez sur une catégorie pour afficher les sous-catégories"
"Create a new product";"Créer un nouveau produit"
"Does this product have many formats?";"Ce produit a-t-il plusieurs formats ?"
"Edit the";"Modifiez l'"
"Edit the product";"Modifier le produit"
"Format";"Format"
"Picture";"Illustration"
"Price";"Prix"
"Prices";"Prix"
"Product";"Produit"
"Product formats";"Formats du produit"
"Product name";"Nom du produit"
"Rules";"Condition"
"Set meal successfully deleted.";"Menu supprimé avec succès."
"Set meal successfully saved.";"Menu sauvegardé avec succès."
"Sub-category";"Sous-catégorie"
"st";"er"
"sub-category";"sous-catégorie"
