"Additionnal Information","Informations complémentaires"
"An error occurred while deleting the push. Please try again later.","Une erreur est survenue lors de la suppression du Push. S'il vous plaît réessayer plus tard."
"And a radius (in Km):","Et un rayon (en Km) :"
"Android","Android"
"Creation date","Date de création"
"Custom URL","URL personnalisée"
"Enter a location:","Saisissez une adresse :"
"GCM Key","Clé GCM"
"I want to send it","Je veux l'envoyer"
"Keys successfully saved","Clés sauvegardées avec succès"
"Message","Message"
"Message:","Message :"
"No device found for this user","Aucun mobile trouvé pour cet utilisateur"
"No items.","Pas d'objet."
"Open a feature or a custom URL","Ouvrir une page ou une URL"
"Pending","Non envoyé"
"Push Notifications","Notifications Push"
"Push Notifications Settings","Paramètres des notifications push"
"Push successfully deleted.","Push supprimé avec succès."
"Radius","Rayon"
"Send to a specific location","Envoyer sur une zone précise"
"Send to all my users","Envoyer à tous mes utilisateurs"
"Send to no specific locations","Envoyer sans zone spécifique"
"Send to specific topics","Envoyer à des sujets spécifiques"
"Sender ID","Sender ID"
"Sending date","Date d'envoi"
"The duration limit must be higher than the sent date","La limite de durée doit être supérieure à la date d'envoi"
"Topics","Sujets"
"Users","Utilisateurs"
"You must choose a topic before sending your message.","Vous devez choisir un sujet avant d'envoyer votre message."
"You must choose at least one user before sending your message.","Vous devez choisir au moins un utilisateur avant d'envoyer ce message."
"Your app must be published to send a push notification.","Votre application doit être publiée pour pouvoir envoyer des notifications push."
"Your message has been saved successfully and will be sent at the entered date","Votre message a bien été enregistré et sera envoyé à la date indiquée"
"Your message has been saved successfully and will be sent in a few minutes","Votre message a bien été enregistré et sera envoyé dans quelques minutes"
"Your message has been saved successfully.","Votre message a bien été enregistré."
"and users entering the area","ainsi qu'aux utilisateurs entrant dans la zone"
"for a limited period","pendant une durée limitée"
"now","maintenant"
"on a specific date","à une date spécifique"
